High,Low
7862.52002,7685.680176
7887.740234,7730.27002
7804.240234,7694.72998
7710.430176,7615.939941
7565.790039,7479.180176
7642.689941,7537.560059
7554.700195,7382.330078
7270.899902,7155.160156
7471.029785,7330.439941
7599.810059,7433.060059
7589.77002,7414.399902
7454.279785,7234.959961
7288.140137,7088.470215
7320.649902,7104.629883
7532.870117,7336.02002
7328.290039,7167.069824
7241.02002,7028.490234
7345.02002,7198.25
7571.450195,7300.870117
7754.75,7630.200195
7967.029785,7723.939941
8054.350098,7895.279785
8034.089844,7902.490234
8229.129883,7922.549805
8504.410156,8297.269531
8553.009766,8392.55957
8640.280273,8383.990234
8843.179688,8626.969727
8651.05957,8236.080078
8383.740234,8088.450195
8351.910156,8084.620117
8741.669922,8449.870117
8992.05957,8812.360352
8765.639648,8556.75
8920.860352,8664.259766
9024.450195,8888.099609
8800.519531,8681.030273
9030,8720.620117
8953.339844,8834.629883
8933.799805,8813.719727
8802.089844,8612.759766
8802.900391,8683.269531
8860.549805,8647.799805
8852.830078,8694.919922
8840.530273,8648.509766
8808.639648,8493.769531
8844.769531,8615.450195
9385.700195,9100.110352
9464.429688,9349.570313
9503.910156,9342.75
9389.610352,9298.610352
9379.469727,9278.889648
9223.769531,9052.410156
9272.080078,9140.900391
9167.820313,8997.740234
9326.75,9166.969727
9399.400391,9311.610352
9286.349609,9189.919922
9267.820313,9126.69043
9402.759766,9245.950195
9379.780273,9231.929688
9491.129883,9411.540039
9492.660156,9353.330078
9522.5,9426.519531
9691.730469,9491.259766
9793.469727,9704.30957
9774.549805,9718.700195
9743.459961,9654.450195
9774.980469,9719.139648
9914.070313,9816.169922
9855.889648,9755.80957
9991.490234,9813.769531
10022.230469,9958.980469
10170.820313,10050.959961
10126.549805,10029.589844
9941.5,9752.879883
9845.519531,9705.730469
9778.349609,9649.830078
9822.830078,9703.870117
9887.129883,9763.370117
9712.089844,9511.450195
9624.410156,9534.240234
9871.139648,9619.019531
9893,9793.950195
9943.830078,9748.730469
10000.299805,9894.950195
10086.179688,9874
9993.769531,9869.540039
9816.070313,9691.160156
9771.759766,9650.75
9734.429688,9619.679688
9557.389648,9407.980469
9384.240234,9291.05957
9370.150391,9265.240234
9343.860352,9050.330078
9284.379883,9166.629883
9333.639648,9250.730469
9489.669922,9317.110352
9420.610352,9360.589844
9652.019531,9508.919922
9750.629883,9608.769531
9861.290039,9703.839844
9950.040039,9863.870117
10179.589844,10015.110352
10116.889648,10049.629883
10161.950195,10035.910156
10169.679688,10067.509766
10359.070313,10259.570313
10380.570313,10322
10479.19043,10358.480469
10406.099609,10252.530273
10426.139648,10266.009766
10412.089844,10249.040039
10585.370117,10487.700195
10587.360352,10512.209961
10526.349609,10434.089844
10556.280273,10489.120117
10630.379883,10539.429688
10521.019531,10268.610352
10325.05957,10181.099609
10327.169922,10195.110352
10407.299805,10204.259766
10375.219727,10142.219727
10591,10388.780273
10566.30957,10469.69043
10668.740234,10526.509766
10575.790039,10400.830078
10560.44043,10471.629883
10767,10423.900391
10577.19043,10215.599609
10290.830078,10185.379883
10256.490234,10143.259766
10326.450195,10274.379883
10393.230469,10300.5
10390.25,10249.110352
10521.139648,10382.990234
10522.230469,10407.969727
10388.320313,10170.740234
10292.469727,10183.299805
10394.55957,10247.240234
10443.799805,10340.139648
10399.419922,10292.5
10566.980469,10386.879883
10395.450195,10228.599609
10125.879883,10059.870117
10138.040039,10063.69043
10077.219727,9965.05957
9751.55957,9669.30957
9744.419922,9628.669922
9821.740234,9735.679688
9863.339844,9746.150391
10016.389648,9857.389648
10116.719727,10039.620117
10096.009766,10016.240234
10272.620117,10184.80957
10290.30957,10216.139648
10357.589844,10307.589844
10350.450195,10292.389648
10274.610352,10159.660156
10364.169922,10271.709961
10397.69043,10250.839844
10290.919922,10201.929688
10209.200195,10060.389648
9945.410156,9850.120117
10049.589844,9984.330078
9845,9767.910156
9825.820313,9691.69043
9849.719727,9767
9845.900391,9731.589844
9979.459961,9857.099609
9949.709961,9849.990234
9943.570313,9788.490234
9805.200195,9719.379883
9802.530273,9725.80957
9847.639648,9715.280273
9788.80957,9631.830078
9691.860352,9496.070313
9513.599609,9423.660156
9511,9397.790039
9453.700195,9366.330078
9457.240234,9324.990234
9257.200195,9076.410156
9353.740234,9162.179688
9572.200195,9233.200195
9643.320313,9514.150391
9977.669922,9707.019531
10022.589844,9902.830078
10204.580078,10106.30957
10149.320313,10079.80957
10048.94043,9985.969727
10035.919922,9834.219727
10107.870117,9916.209961
10126.610352,10009.599609
10111.759766,10033.900391
10222.219727,10117.120117
10260.120117,10163.799805
10157.25,10027.849609
10215.490234,10183.469727
10378.030273,10235.219727
10558.410156,10413.370117
